orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
100011 :: 1017 :: 306560 :: 269733 :: 1999-12-31 :: 1
100056 :: 1003 :: 309213 :: 268079 :: 2000-01-04 :: 1
100066 :: 1005 :: 311930 :: 260978 :: 2000-01-04 :: 1
100071 :: 1005 :: 308177 :: 201318 :: 2000-01-05 :: 1
100086 :: 1011 :: 314488 :: 223231 :: 2000-01-05 :: 1
100088 :: 1001 :: 308059 :: 258505 :: 2000-01-06 :: 1
100120 :: 1009 :: 304103 :: 202693 :: 2000-01-08 :: 1
100128 :: 1007 :: 314167 :: 249408 :: 2000-01-09 :: 1
100141 :: 1011 :: 309237 :: 231232 :: 2000-01-09 :: 1
100145 :: 1013 :: 314460 :: 211816 :: 2000-01-10 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
100159 :: 1002 :: 312948 :: 242967 :: 2000-01-11 :: 1
100187 :: 1017 :: 314920 :: 201092 :: 2000-01-13 :: 1
100195 :: 1009 :: 301162 :: 259406 :: 2000-01-14 :: 1
100218 :: 1008 :: 301870 :: 277617 :: 2000-01-16 :: 1
100234 :: 1009 :: 301916 :: 288372 :: 2000-01-16 :: 1
100243 :: 1007 :: 310123 :: 211480 :: 2000-01-17 :: 1
100260 :: 1018 :: 303482 :: 231841 :: 2000-01-18 :: 1
100304 :: 1004 :: 301724 :: 223301 :: 2000-01-21 :: 1
100309 :: 1007 :: 305040 :: 264018 :: 2000-01-22 :: 1
100316 :: 1012 :: 303817 :: 239238 :: 2000-01-22 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
100344 :: 1008 :: 312977 :: 223064 :: 2000-01-24 :: 1
100361 :: 1017 :: 309836 :: 278006 :: 2000-01-25 :: 1
100365 :: 1001 :: 307287 :: 263682 :: 2000-01-25 :: 1
100379 :: 1012 :: 306190 :: 200348 :: 2000-01-27 :: 1
100408 :: 1001 :: 300359 :: 258718 :: 2000-01-29 :: 1
100425 :: 1006 :: 303209 :: 251984 :: 2000-01-30 :: 1
100433 :: 1011 :: 308651 :: 218221 :: 2000-01-30 :: 1
100443 :: 1008 :: 311759 :: 263492 :: 2000-01-31 :: 1
100469 :: 1017 :: 312546 :: 286368 :: 2000-02-02 :: 1
100471 :: 1005 :: 300431 :: 219929 :: 2000-02-02 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
100516 :: 1007 :: 303309 :: 263201 :: 2000-02-04 :: 1
100529 :: 1014 :: 309205 :: 209240 :: 2000-02-05 :: 1
100533 :: 1013 :: 307013 :: 208109 :: 2000-02-05 :: 1
100594 :: 1014 :: 305057 :: 218335 :: 2000-02-09 :: 1
100604 :: 1015 :: 310490 :: 223559 :: 2000-02-10 :: 1
100608 :: 1014 :: 311103 :: 214233 :: 2000-02-10 :: 1
100615 :: 1001 :: 310941 :: 205069 :: 2000-02-10 :: 1
100622 :: 1006 :: 310410 :: 211340 :: 2000-02-10 :: 1
100664 :: 1017 :: 300742 :: 223309 :: 2000-02-13 :: 1
100679 :: 1016 :: 310337 :: 203734 :: 2000-02-14 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
100689 :: 1009 :: 313745 :: 226722 :: 2000-02-15 :: 1
100702 :: 1017 :: 310727 :: 239674 :: 2000-02-16 :: 1
100704 :: 1001 :: 304314 :: 263589 :: 2000-02-16 :: 1
100726 :: 1003 :: 301698 :: 255747 :: 2000-02-18 :: 1
100732 :: 1004 :: 308443 :: 215468 :: 2000-02-18 :: 1
100736 :: 1016 :: 300833 :: 287744 :: 2000-02-18 :: 1
100737 :: 1006 :: 312410 :: 201377 :: 2000-02-18 :: 1
100788 :: 1001 :: 308894 :: 228297 :: 2000-02-21 :: 1
100789 :: 1017 :: 302014 :: 275999 :: 2000-02-21 :: 1
100804 :: 1011 :: 305368 :: 222858 :: 2000-02-23 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
100821 :: 1003 :: 310399 :: 274422 :: 2000-02-24 :: 1
100877 :: 1015 :: 304869 :: 284099 :: 2000-02-27 :: 1
100901 :: 1017 :: 311112 :: 227467 :: 2000-02-28 :: 1
100902 :: 1001 :: 305764 :: 254120 :: 2000-02-29 :: 1
100915 :: 1017 :: 306715 :: 262520 :: 2000-03-01 :: 1
100946 :: 1003 :: 308327 :: 259054 :: 2000-03-03 :: 1
100948 :: 1014 :: 307520 :: 272667 :: 2000-03-04 :: 1
100959 :: 1015 :: 306029 :: 218728 :: 2000-03-04 :: 1
100980 :: 1014 :: 313572 :: 245778 :: 2000-03-06 :: 1
100995 :: 1005 :: 314200 :: 287926 :: 2000-03-07 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
101012 :: 1015 :: 306214 :: 242688 :: 2000-03-08 :: 1
101013 :: 1004 :: 300960 :: 287100 :: 2000-03-08 :: 1
101017 :: 1018 :: 305256 :: 260149 :: 2000-03-08 :: 1
101022 :: 1001 :: 305166 :: 209833 :: 2000-03-08 :: 1
101044 :: 1001 :: 302003 :: 220087 :: 2000-03-09 :: 1
101094 :: 1004 :: 306926 :: 222359 :: 2000-03-13 :: 1
101137 :: 1013 :: 312864 :: 206758 :: 2000-03-15 :: 1
101142 :: 1015 :: 300430 :: 228234 :: 2000-03-16 :: 1
101147 :: 1008 :: 300118 :: 207897 :: 2000-03-16 :: 1
101169 :: 1011 :: 313238 :: 276365 :: 2000-03-17 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
101179 :: 1003 :: 304843 :: 215495 :: 2000-03-18 :: 1
101183 :: 1018 :: 309821 :: 263007 :: 2000-03-18 :: 1
101187 :: 1013 :: 308005 :: 202598 :: 2000-03-18 :: 1
101188 :: 1015 :: 312536 :: 252453 :: 2000-03-18 :: 1
101195 :: 1011 :: 312074 :: 246164 :: 2000-03-19 :: 1
101201 :: 1007 :: 309541 :: 200832 :: 2000-03-19 :: 1
101202 :: 1002 :: 301437 :: 270861 :: 2000-03-19 :: 1
101209 :: 1007 :: 305760 :: 261795 :: 2000-03-20 :: 1
101213 :: 1001 :: 307094 :: 215875 :: 2000-03-20 :: 1
101228 :: 1017 :: 302312 :: 270144 :: 2000-03-21 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
101247 :: 1008 :: 305922 :: 258629 :: 2000-03-22 :: 1
101251 :: 1014 :: 301790 :: 226921 :: 2000-03-22 :: 1
101255 :: 1009 :: 308810 :: 205325 :: 2000-03-23 :: 1
101266 :: 1011 :: 305625 :: 269723 :: 2000-03-23 :: 1
101270 :: 1017 :: 302106 :: 261261 :: 2000-03-24 :: 1
101280 :: 1011 :: 309195 :: 225435 :: 2000-03-24 :: 1
101293 :: 1009 :: 311671 :: 274862 :: 2000-03-25 :: 1
101294 :: 1003 :: 305864 :: 218784 :: 2000-03-25 :: 1
101301 :: 1017 :: 313373 :: 232557 :: 2000-03-25 :: 1
101302 :: 1016 :: 308827 :: 239484 :: 2000-03-25 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
101319 :: 1004 :: 307499 :: 268632 :: 2000-03-26 :: 1
101348 :: 1007 :: 304025 :: 256605 :: 2000-03-28 :: 1
101372 :: 1007 :: 301996 :: 269354 :: 2000-03-30 :: 1
101374 :: 1001 :: 301981 :: 263551 :: 2000-03-30 :: 1
101383 :: 1017 :: 307290 :: 214275 :: 2000-03-31 :: 1
101396 :: 1006 :: 301049 :: 250565 :: 2000-04-01 :: 1
101403 :: 1012 :: 306159 :: 258064 :: 2000-04-01 :: 1
101405 :: 1004 :: 308264 :: 272287 :: 2000-04-01 :: 1
101416 :: 1007 :: 301139 :: 267654 :: 2000-04-02 :: 1
101419 :: 1015 :: 312458 :: 257338 :: 2000-04-02 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
101431 :: 1005 :: 312875 :: 250298 :: 2000-04-03 :: 1
101436 :: 1014 :: 308747 :: 277171 :: 2000-04-03 :: 1
101440 :: 1001 :: 313290 :: 236795 :: 2000-04-04 :: 1
101446 :: 1009 :: 304012 :: 271762 :: 2000-04-04 :: 1
101452 :: 1010 :: 314524 :: 248704 :: 2000-04-04 :: 1
101453 :: 1003 :: 305595 :: 207802 :: 2000-04-04 :: 1
101473 :: 1009 :: 307650 :: 237462 :: 2000-04-06 :: 1
101476 :: 1013 :: 300413 :: 229015 :: 2000-04-06 :: 1
101489 :: 1013 :: 314799 :: 201550 :: 2000-04-07 :: 1
101493 :: 1004 :: 306998 :: 200837 :: 2000-04-07 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
101537 :: 1005 :: 304735 :: 231098 :: 2000-04-10 :: 1
101541 :: 1013 :: 312735 :: 200622 :: 2000-04-10 :: 1
101573 :: 1004 :: 311462 :: 277884 :: 2000-04-12 :: 1
101590 :: 1016 :: 309379 :: 253246 :: 2000-04-13 :: 1
101591 :: 1008 :: 307017 :: 208903 :: 2000-04-13 :: 1
101597 :: 1003 :: 302566 :: 257121 :: 2000-04-14 :: 1
101662 :: 1014 :: 306725 :: 270044 :: 2000-04-19 :: 1
101711 :: 1004 :: 314187 :: 287133 :: 2000-04-22 :: 1
101724 :: 1016 :: 309786 :: 224050 :: 2000-04-23 :: 1
101739 :: 1011 :: 309725 :: 221064 :: 2000-04-23 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
101748 :: 1011 :: 313064 :: 217043 :: 2000-04-24 :: 1
101769 :: 1004 :: 302746 :: 205649 :: 2000-04-25 :: 1
101774 :: 1014 :: 308000 :: 256169 :: 2000-04-26 :: 1
101784 :: 1001 :: 304855 :: 235802 :: 2000-04-26 :: 1
101796 :: 1010 :: 308731 :: 202762 :: 2000-04-27 :: 1
101806 :: 1013 :: 305915 :: 208871 :: 2000-04-27 :: 1
101825 :: 1011 :: 313257 :: 263229 :: 2000-04-29 :: 1
101849 :: 1007 :: 312707 :: 254872 :: 2000-04-30 :: 1
101882 :: 1005 :: 301226 :: 221398 :: 2000-05-02 :: 1
101903 :: 1013 :: 308030 :: 261250 :: 2000-05-03 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
101905 :: 1001 :: 305890 :: 221017 :: 2000-05-04 :: 1
101913 :: 1009 :: 300286 :: 260410 :: 2000-05-04 :: 1
102071 :: 1018 :: 310583 :: 206364 :: 2000-05-13 :: 1
102072 :: 1011 :: 313832 :: 262889 :: 2000-05-13 :: 1
102079 :: 1008 :: 303902 :: 222439 :: 2000-05-14 :: 1
102126 :: 1012 :: 304915 :: 266871 :: 2000-05-16 :: 1
102136 :: 1004 :: 304328 :: 220228 :: 2000-05-17 :: 1
102139 :: 1001 :: 310914 :: 217193 :: 2000-05-17 :: 1
102154 :: 1013 :: 301487 :: 237113 :: 2000-05-17 :: 1
102162 :: 1012 :: 302417 :: 250543 :: 2000-05-18 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
102195 :: 1016 :: 313814 :: 215474 :: 2000-05-20 :: 1
102216 :: 1010 :: 306196 :: 259634 :: 2000-05-21 :: 1
102221 :: 1007 :: 303819 :: 285475 :: 2000-05-21 :: 1
102237 :: 1013 :: 312805 :: 210459 :: 2000-05-22 :: 1
102265 :: 1003 :: 306826 :: 253849 :: 2000-05-24 :: 1
102294 :: 1011 :: 313899 :: 258379 :: 2000-05-26 :: 1
102318 :: 1012 :: 314613 :: 258885 :: 2000-05-28 :: 1
102321 :: 1007 :: 306968 :: 221765 :: 2000-05-28 :: 1
102330 :: 1014 :: 309882 :: 233872 :: 2000-05-29 :: 1
102361 :: 1001 :: 313314 :: 245599 :: 2000-05-30 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
102364 :: 1016 :: 300704 :: 240892 :: 2000-05-31 :: 1
102366 :: 1001 :: 308423 :: 201935 :: 2000-05-31 :: 1
102368 :: 1011 :: 312795 :: 238445 :: 2000-05-31 :: 1
102435 :: 1002 :: 307333 :: 219816 :: 2000-06-03 :: 1
102456 :: 1003 :: 307513 :: 268649 :: 2000-06-04 :: 1
102518 :: 1005 :: 310937 :: 222190 :: 2000-06-09 :: 1
102524 :: 1012 :: 303461 :: 200050 :: 2000-06-10 :: 1
102569 :: 1004 :: 313121 :: 255024 :: 2000-06-12 :: 1
102583 :: 1002 :: 313908 :: 205931 :: 2000-06-13 :: 1
102602 :: 1002 :: 304131 :: 205218 :: 2000-06-14 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
102619 :: 1010 :: 306664 :: 226103 :: 2000-06-15 :: 1
102620 :: 1014 :: 303712 :: 241956 :: 2000-06-15 :: 1
102651 :: 1003 :: 300780 :: 218255 :: 2000-06-17 :: 1
102683 :: 1013 :: 309383 :: 287416 :: 2000-06-19 :: 1
